count,dataset,session,movie,location,y_coordinate,x_coordinate,Resp_u,Resp_v,GT_u,GT_v
1,1,1,1,1,221,334,-15.732264762553,-5.81746103889901,-12.5625,-3.828125
2,1,1,1,2,213,421,-14.74639300264,-5.35021443932184,-8.046875,-3.234375
3,1,1,1,3,233,485,-11.0968312622125,-8.56761203277935,-8.765625,-5.34375
4,1,1,1,4,245,512,-8.00008702989899,-10.2367697793211,-8.703125,-7.25
5,1,1,1,5,260,558,-6.59204273618309,-12.5076575065784,-6.171875,-10.03125
6,1,1,1,6,251,615,0.226979997517139,-11.2636907797675,-0.875,-8.25
7,1,1,1,7,253,694,6.71008775297122,-10.544690739514,6.046875,-8.625
8,1,1,1,8,180,728,9.32522728073146,-4.41656663924431,4.296875,-1.921875
9,1,1,1,9,209,774,11.8209792673703,-9.88591277050879,12.734375,-4.71875
10,1,1,1,10,249,791,11.5581934199538,-11.1083150668295,16.078125,-8.9375
11,1,1,2,1,226,333,-11.9847871628081,-6.26683462398893,-13.28125,-2.90625
12,1,1,2,2,173,417,-10.5700271685949,-3.26383048945664,-5.78125,-0.234375
13,1,1,2,3,254,502,-6.77000824401491,-8.42597772333718,-3.5625,-3.140625
14,1,1,2,4,296,529,-5.20247277263376,-10.9204727674888,-4.25,-7.390625
15,1,1,2,5,298,654,4.63533260024453,-11.3925316127109,3.1875,-7.609375
16,1,1,2,6,152,660,-2.14015729434824,1.90304247887383,-2.296875,-0.046875
17,1,1,2,7,265,728,8.44963495169047,-9.77717999021411,5.703125,-4.015625
18,1,1,2,8,213,809,9.96448892986506,-4.52521996545872,9.875,-1.78125
19,1,1,2,9,154,828,10.7589607350805,-1.62167134194159,8.984375,0.90625
20,1,1,2,10,192,893,11.8177789174666,-4.44252301583707,14.171875,-0.71875
21,1,2,1,1,200,288,-2.92043941977886,-4.79335420519959,18.078125,1
22,1,2,1,2,234,365,-10.104011999686,-10.1003314741659,-18.734375,-5.078125
23,1,2,1,3,209,393,-4.34856955583692,-5.00725089059787,-10.5,-1.796875
24,1,2,1,4,200,502,-2.8045485692881,-5.07668705436027,-1.71875,0.796875
25,1,2,1,5,267,509,-2.46424771013866,-9.46523617353433,-2.265625,-3.484375
26,1,2,1,6,181,518,-0.945396798628348,-5.45288768057755,-0.625,1.0625
27,1,2,1,7,266,615,0.820499161559902,-10.4207578811031,3.171875,-3.375
28,1,2,1,8,255,687,4.17307664886979,-8.11098704177587,6.34375,-2.15625
29,1,2,1,9,147,796,9.3612148304662,-6.15490677275049,9.40625,2.640625
30,1,2,1,10,185,901,18.3165087430323,-6.51363367069708,17.046875,1.1875
31,1,2,2,1,251,106,-15.6434928287551,-7.94695091408761,-9.25,-1.78125
32,1,2,2,2,198,440,-1.09632434227769,-2.95528343222423,-2.390625,-0.53125
33,1,2,2,3,256,473,-2.74953174373862,-4.0403167873184,-2.78125,-1.9375
34,1,2,2,4,192,589,-5.61859723824188,-4.43592917902706,-13.109375,-0.765625
35,1,2,2,5,289,595,-0.544720777728605,-4.65451372134903,-0.328125,-3.640625
