,type1,type2,type3,type4,type5,type6,type7
0,1.063123516,0.006637486,-0.758637589,-0.374261245,10.75449414,-8.147745143,2.526774562
1,1.785229007,-1.198515531,-1.998543287,1.255059213,-2.043991162,-4.885418602,-2.626416655
2,-0.081917413,-0.104377119,5.620543196,-7.847486198,3.016495148,0.618460295,0.516857109
3,0.537262087,0.530429748,-0.88100953,-0.940607939,0.769440753,5.429816518,2.153046321
4,-0.325431741,0.035883137,-0.116781857,8.251217949,-0.130785562,0.190733997,-2.085775526
5,1.053152459,0.861099117,-0.282625901,4.651536814,0.07911442,1.769254452,-2.114481466
6,1.155186964,-0.068775396,-2.189573997,0.83803415,2.202205901,3.323214325,-1.820950645
7,1.372371738,0.208855519,-2.883548691,-3.300842327,2.571910869,-6.550627372,-1.97111071
8,-0.018260266,0.230692439,3.986991667,1.379747477,1.639709162,0.657916122,-4.739381385
9,0.286827186,-0.115814569,2.65545829,-0.02624007,2.646221583,3.235546721,0.793001342
10,0.075971384,-0.282057708,-0.042311409,-1.539429742,-3.997591034,-7.07884946,6.256015235
11,-1.04009867,0.287922705,-2.633842753,0.640836888,-2.146703006,-3.623863659,-0.477279694
12,-1.180929269,-0.185810853,4.05374624,0.746558708,0.972548759,4.672675713,-8.333669022
13,-0.381389044,0.027269673,-0.902871006,4.373061022,-0.878814273,0.82384107,2.987798818
14,0.330401437,0.040345079,0.051140876,-5.979442461,-2.197006975,-8.269373271,-5.88827205
15,0.000199481,-0.070390147,3.465245089,-4.461189432,2.356823217,-3.308339647,14.6552114
16,-1.17671238,-0.26606051,2.864889872,0.839170047,-1.296757875,-4.131998269,-10.445122
17,-0.00867333,-2.021686725,-3.57619081,-12.71821586,0.222556563,-11.43114343,-2.73114003
18,0.807969136,-0.060086199,7.04465604,2.878271251,0.953723945,10.66362361,1.624482282
19,0.15395481,0.01597926,2.068936283,-9.458458934,2.335206863,11.33929029,-0.765968834
20,-0.097697344,-0.025067909,0.955892957,-2.208940169,-0.785824751,4.04085199,-0.075994593
21,0.821498514,0.011606706,-5.448809643,-6.166433505,-3.914184735,-1.027475946,4.913964042
22,-1.162261228,0.295509757,4.813390271,6.880415917,-2.211194796,1.62572661,-2.935730379
23,0.8155538,-0.27961878,-2.735409974,2.464543287,-0.531117298,-3.064203295,1.34608897
24,1.234745454,0.615609967,1.594738263,-1.631389651,-1.227009245,-4.215515706,0.637373505
25,0.282842277,0.266869337,0.971179888,1.68598347,-4.59505336,-2.233439355,1.12659368
26,-0.203897445,0.650201041,-0.574894217,-2.377602671,0.798104797,-6.380971562,0.691758648
27,-0.367953771,0.001140663,-4.047928743,-2.700264946,-3.770449905,-0.235927718,9.426006483
28,-1.864512368,-0.061930464,1.519896765,1.292003573,-0.92923102,-0.829297702,-0.069613618
29,1.45909174,-0.607712686,-1.091669992,-2.122724109,1.708988692,1.459342713,5.272772174
30,0.286576853,0.019918401,-5.728882377,-5.948430448,0.814546214,-3.392788715,11.59749077
31,0.121400453,0.736551925,1.124107636,1.686986822,2.624083271,-0.326825189,-1.727834259
32,-1.434484422,-0.243190679,2.512432374,-6.02969944,0.238725998,-0.656031502,-2.858764835
33,-0.670551468,-0.084370499,-0.43591398,-1.423661676,3.26937229,3.34242477,-0.486194417
34,0.380133961,-0.018121783,-2.786215848,-1.756731458,-4.469060583,-7.484845874,6.556539064
35,0.303493371,0.54868188,-3.125262375,0.52728647,-1.33536128,0.641146145,0.959631779
36,-0.286343381,0.301806662,-4.111470556,-2.303977064,-0.37525703,-5.520461068,-1.311239825
37,0.522080487,-0.404993332,-4.471425349,-3.272292134,-0.921874966,0.33547325,2.944442537
38,0.286459666,-0.021748803,2.801269346,1.517089343,1.792114604,-2.355489403,3.754594472
39,0.099012742,-1.750936866,0.942568662,-7.673402591,-1.957492807,-9.142762572,10.224336
